P. Teq Mean (K),P. Ts Mean (K)
1406.6,
379.8,
153.2,
307.6,
1315.1,
266.5,
896.4,
149.6,
339.6,
164.2,
930.1,
382.7,
250.6,
313.6,
187.2,
1218.5,
166.3,
100.8,
297.4,336.9
1486.3,
154,
214.2,
380.4,
925.9,
247.8,
99,
1551.8,
146.5,
411,
602.5,
621.4,
245.9,
314.8,
292.3,
851.8,895.8
560.1,
55.2,
396.7,
734.6,
31.4,
481.5,
910.1,
293.2,
1001.4,1045.8
425.4,
688.3,729.3
419.8,
97.9,
231.3,
583.7,
342.5,
749.4,
259.7,
385.4,
719.6,
963.1,
877.6,
530.8,
376,
355.1,
1642.2,
409.7,
846.6,
1310.9,
363.2,
713.5,
158.8,
187.6,
997.8,1042
768.6,
122.7,
15,
537.4,
907.7,
133.8,
436.8,
256.8,
160.2,
452.6,
1076,
684.9,
1161.8,
587,
1105.8,
163.3,
365.1,
128.5,
91.5,
182.8,
136.8,
160.6,
207.8,
486.8,
184.3,
355,
128.4,
664.2,
292.3,
1409,
775.7,
304.5,
502.8,
146.2,
584.9,
224.5,
1186,
129.4,
185,
165.9,
177.7,
140.7,
207.8,
151.1,
721.7,
321.8,
209,
158.5,
201.9,
115.1,
93.5,
1336,
182.8,
381.8,
817,861.5
478.2,
239.9,
313.3,
117.4,
842.3,883.8
630.8,
397.3,441.9
357.4,
219.9,
456.6,
463.1,
359.4,
206.3,
132.9,
215.8,
112.3,
292.8,
250.5,
1825.8,
161,
617.8,
450.9,
421.8,
756.4,
207.6,
481.2,
171.9,
217.9,
550,
340.5,
191.9,
413.8,
1601.5,
1389.3,
182.8,
90.4,
149.6,
408.1,
272.1,
643.6,686
106.4,
357.1,
276.4,
137.5,
337.7,
377.6,
299.1,
327.8,
278,
811.5,851.9
347.9,
381.6,
842.3,
312.2,
224.9,
336.8,
423.4,
146.6,
656.4,
55.4,
44.9,
499.8,
200.4,
286.2,
538,
157.4,
160.2,
401.7,
218.8,
80,
402.5,
549,
179.3,
1026.4,
89.6,
413.9,
196.1,
188.9,
296.2,
152.4,
702.5,
154,
925.8,
428.3,
493.1,537.4
172.8,
341.3,
522.2,
469.8,
925,
1419.4,
553.4,
852.9,
380.7,
368.9,
660.5,704
141.6,
107.3,
225,
230.5,
138,
1295.4,
215.5,
1320.4,
122.7,
233.7,
769.4,
1088,
275.8,
135.3,
753.9,
209.5,
136.2,
172.8,
484.5,
439.9,
804.6,
,
186.7,
177.2,
228.4,
200,
373.1,
337.4,
277.6,
164.4,
10.3,
151.1,
586.5,
135.1,
117.2,
330.2,
408.1,
101.6,
316.2,
163.7,
391.5,
877.3,
466.5,
1352.2,
240.3,
454.7,
81.8,
1541.3,
456.8,
223.5,
174,
704.7,743
615.3,654.1
407.7,
178.5,
984.3,1026.8
185.8,
224.7,
170.2,
918,
338.2,
959.9,
111.1,
190.2,
236.4,
124.9,
931.7,971.1
717.8,757.3
376.9,
113.4,153.2
298.3,
103.5,
202.3,
1596.2,
131.7,
965.5,
149.6,
145.8,
348.2,
259,
199.5,
318.6,
145.2,
221.6,
203.2,
718.9,
436.6,
806.8,
386.6,
780.9,
93.2,
13.7,
595.3,
132.1,
1023.2,
12.8,
168.8,
58.5,
343.8,
117.8,
393,
918.2,
327,
175.6,
904.6,
713.7,
418.7,
444.8,
328.9,
218.6,
636.3,
399.8,
167.1,
781.3,
282.2,
211.2,
54.1,
392.6,
284,
746.8,
258.7,
1534.1,1573.6
328,
35.3,
96,
75.9,
67.9,
354.4,
598.2,
,
43.2,
146.8,
942.6,
312.1,
693,
874.7,
184.8,
271.6,
604.9,648.1
9.4,
373.3,
75.9,
67.1,
,
48,
60.5,
76.2,
104,
101.9,
73,
4001,
461.1,508.1
341.9,385.3
280,329.1
514.2,563.3
567.2,611.3
457.4,505.3
580.1,630.5
585.5,
631.4,
800.9,850.3
275.9,323.6
658.8,703.8
1144.3,
907.5,956.1
482.6,526.5
447.6,
618.4,668.7
657.7,703
484.5,
448.6,496.1
249.8,297.4
390,433.4
816.2,
712.5,
1197.1,1232
510.7,551.3
431.1,475.3
1359.1,1433.6
709.3,
560.4,
435.6,
388,
831.9,
521.7,570.2
1066.6,
996.6,
1572.5,
769,
582.8,
505.1,
716.8,790.5
1590.9,
978.8,1017.1
737.3,783.3
1231.5,1268.8
792.8,
973.4,1014.2
860.5,
662.6,
1183.5,1233.2
857.5,899.8
1702.5,
655.1,701.7
674.1,
1284.2,
810.9,
842.7,888.3
460.6,504.5
503.4,551
702.5,746.8
532.8,573.3
853.8,
1494,
686,736.4
398.5,433.5
835.3,
563.6,609.8
841.4,
1183.1,1224
568.3,610.2
517.5,567
633,681.3
1503.4,
1634.4,1684.6
